iter	Accuracy	Logloss
842	0.9103199036	0.2712305125
843	0.9104537545	0.2711357287
844	0.9104537545	0.2710591631
845	0.9104537545	0.2710117957
846	0.9104537545	0.2708148101
847	0.9104537545	0.2706889818
848	0.9107214563	0.2705077308
849	0.9108553072	0.2704383381
850	0.9112568599	0.2703073303
851	0.9113907107	0.2702482803
852	0.9113907107	0.2701222069
853	0.9115245616	0.2700849208
854	0.9117922634	0.2700170967
855	0.9119261143	0.2698848961
856	0.9121938161	0.26970523
857	0.9120599652	0.269565595
858	0.9119261143	0.2694113365
859	0.9121938161	0.269282273
860	0.9117922634	0.2691064956
861	0.9117922634	0.2690907446
862	0.912327667	0.2687584866
863	0.9121938161	0.2685537398
864	0.9121938161	0.2685262736
865	0.9124615179	0.2682111064
866	0.9121938161	0.2681134142
867	0.9125953688	0.268034316
868	0.9124615179	0.2678958248
869	0.9124615179	0.2677936393
870	0.9121938161	0.2677243937
871	0.912327667	0.2675573415
872	0.9131307723	0.267359686
873	0.9132646232	0.2671825198
874	0.9129969214	0.2669959586
875	0.9127292196	0.2668623365
876	0.9129969214	0.2666801378
877	0.9128630705	0.2665512214
878	0.9132646232	0.2664329417
